Hsrlnm,Orgsnm,Dstntnm,Hsrloptm,Hsrlspd,Dsgnspd,Mnst
高铁线路名称,起点名,终点名,开通时间,线路长度(km),设计速度(km/h）,沿途主要车站
成渝高铁,成都东,重庆,2015/12/26,308,350,成都东、简阳南、资阳北、资中北、内江北、隆昌北、荣昌北、大足南、永川东、璧山、沙坪坝、重庆北
牡绥铁路穆绥段,穆棱,绥芬河,2015/12/28,74,200,穆棱、细鳞河、绥阳
津保铁路,天津,保定,2015/12/28,157.8,250,天津西、胜芳、霸州西、白沟、白洋淀、徐水、保定
海南西环铁路,海口,三亚,2015/12/30,345,200,海口、老城镇、福山镇、临高南、银滩、白马井、海头、棋子湾、东方、金月湾、尖峰、黄流、乐东、崖城、凤凰、三亚西、三亚
郑机城际线,郑州东,新郑机场,2015/12/31,43.02,250,郑州、郑州东、南曹、孟庄、新郑机场
宁安城际铁路,南京南,安庆,2015/12/6,257,250,南京南、江宁西、马鞍山东、当涂东、芜湖、弋江、繁昌西、铜陵、池州、安庆
沪昆高速铁路新贵段,新晃西,贵阳北,2015/6/18,286,350,新晃西、铜仁南、三穗、凯里南、贵定北、贵阳东、贵阳北
郑焦城际铁路,郑州,焦作,2015/6/26,78,200,郑州、南阳寨、黄河景区、武陟、修武西、焦作
合福高速铁路,合肥北城,福州,2015/6/28,850,350,合肥北城、合肥西、合肥南、长临河、巢湖东、无为、铜陵北、南陵、泾县、旌德、绩溪北、歙县北、黄山北、婺源、德兴、上饶、五府山、武夷山北、南平市、建瓯西、南平北、古田北、闽清北、福州
哈齐客专哈北齐南段,咍尔滨北,齐齐哈尔南,2015/8/17,266,300,哈尔滨西、哈尔滨、哈尔滨北、肇东、安达、大庆东、大庆西、杜尔伯特、红旗营东、齐齐哈尔南、齐齐哈尔
沈丹高铁,沈阳南,丹东,2015/9/1,208,250,沈阳南、本溪新城、本溪、南芬北、通远堡西、凤城东、五龙背东、丹东
吉图珲高铁,吉林,珲春,2015/9/18,360,250,吉林、蛟河西、威虎岭北、敦化、大石头南、安图西、延吉西、图们北、珲春
京津城际铁路延伸线,天津,于家堡,2015/9/20,44.75,350,天津、军粮城北、塘沽、于家堡
娄邵铁路扩能改造(新娄邵铁路）,娄底,邵阳,2016/1/6,100,200,娄底、娄底西、双峰北、廉桥、邵东、邵阳东、邵阳
青荣城际铁路即青段,即墨,青岛北,2016/11/16,26,250,即墨北、城阳、青岛北
渝万高速铁路,重庆北,万州北,2016/11/28,247,250,重庆北、复盛、长寿北、长寿湖、垫江、梁平南、万州北
武孝城际铁路,汉口,孝感东,2016/12/1,62,250,汉口、后湖、金银潭、盘龙城、天河机场、天河街、闵集、王母湖、毛陈、槐荫、孝感东
长株潭城际铁路,长沙,湘潭/株洲,2016/12/26,104.36,200,长沙西、麓谷、尖山、谷山、八方山、观沙岭、开福寺、长沙、树木岭、香樟路、湘府路、洞井、先锋、芙蓉南、暮云、九郎山、田心东、大丰、株洲、株洲南、昭山、荷塘、板塘、湘潭
沪昆高速铁路贵阳至昆明段,贵阳北,昆明南,2016/12/28,463,350,贵阳北、平坝南、安顺西、关岭、普安县、盘州、富源北、曲靖北、嵩明、昆明南
云桂铁路昆明至百色段,百色,昆明南,2016/12/28,486,250,昆明南、阳宗、弥勒、普者黑、珠琳、广南县、白腊寨、富宁、者桑、百色
昆玉城际铁路,昆明南,玉溪,2016/12/28,88,200,昆明南、玉溪
广佛肇城际铁路,广州,肇庆,2016/3/30,111,200,广州、佛山西、狮山、狮山北、三水北、云东海、大旺、四会、鼎湖东、鼎湖山、端州、肇庆
莞惠城际铁路常平至小金口段,常平,小金口,2016/3/30,54,200,常平东、樟木头东、银屏、沥林北、仲恺、惠环、龙丰、西湖东、云山及小金口
宁启铁路南京至南通段,南京,南通,2016/5/15,284,200,南京、浦口北、殷庄、六合、仪征、扬州、扬州东、江都、泰州西、泰州、姜堰、南莫、海安县、如皋、白蒲、南通
徐兰高速线郑徐段,郑州东,徐州东,2016/9/10,362,350,郑州东、开封北、兰考南、民权北、商丘、砀山南、永城北、萧县北、徐州东
长株潭城际西线,开福寺,长沙西,2017/12/26,22,200,开福寺、观沙岭、八方山、谷山、尖山、麓谷、长沙西
莞惠城轨常平东至道滘段,常平东,道滘,2017/12/28,44,200,常平东、常平南、大朗镇、松山湖北、寮步、东城南、西平西、道滘
萧淮客运联络线,萧县,淮北,2017/12/28,27.55,250,萧县北、淮北北
石济客运专线,石家庄,济南,2017/12/28,319,250,石家庄、石家庄东、藁城南、辛集南、衡水北、景州、德州东、平原东、禹城东、齐河、济南东
九景衢铁路,九江,衢州,2017/12/28,334,200,九江、湖口、都昌、鄱阳、景德镇北、婺源、德兴东、开化、常山、衢州
西成高铁西安至江油段,西安,江油,2017/12/6,506,250,西安北、阿房宫、鄠邑、佛坪、洋县西、城固北、汉中、宁强南、朝天、广元、剑门关、青川、江油北、江油
武九客运专线大冶北至阳新段,大冶北,枫林镇,2017/6/12,36.2,250,大冶北、白沙铺、阳新、枫林镇
宝兰高铁,宝鸡,兰州,2017/7/9,400.57,250,兰州西、榆中、定西北、通渭、秦安、天水南、东岔、宝鸡南
张呼客专线乌呼段,乌兰察布,呼和浩特东,2017/8/3,126,250,乌兰察布、卓资东、呼和浩特东
武九客专线阳九段,阳新,庐山,2017/9/21,96.8,250,阳新、枫林、瑞昌西、柴桑、庐山
渝贵铁路,重庆西,贵阳北,2018/1/25,345.4,200,重庆西、珞璜南、綦江东、赶水东、桐梓北、桐梓东、娄山关南、遵义、龙坑、遵义南、息烽、修文县
杭黄高铁,杭州东,黄山北,2018/12/25,287,250,杭州东、杭州南、富阳、桐庐、建德、千岛湖、三阳、绩溪北、歙县北、黄山北
哈牡高铁,哈尔滨,牡丹江,2018/12/25,293.204,250,哈尔滨、新香坊北、阿城北、帽儿山西、尚志南、一面坡北、苇河西、亚布力西、横道河子东、海林北、牡丹江
济青高铁,济南东,红岛,2018/12/26,307.9,350,济南东、章丘北、邹平、淄博北、临淄北、青州市北、潍坊北、高密北、胶州北、青岛机场、红岛
